,year,erf
569,1797.416667,0.191568056
570,1797.5,0.19627297
571,1797.583333,0.200583198
572,1797.666667,0.204529854
573,1797.75,0.208142032
574,1797.833333,0.211446829
575,1797.916667,0.214469407
576,1798.0,0.217233124
577,1798.083333,0.21975958
578,1798.166667,0.222068749
579,1798.25,0.224179019
580,1798.333333,0.226107283
581,1798.416667,0.227869064
582,1798.5,0.229478565
583,1798.583333,0.230948854
584,1798.666667,0.23229189
585,1798.75,0.233518632
586,1798.833333,0.234639085
587,1798.916667,0.235662384
588,1799.0,0.236596908
589,1799.083333,0.237450338
590,1799.166667,0.23822971
591,1799.25,0.238941452
592,1799.333333,0.239591422
593,1799.416667,0.240184956
594,1799.5,0.24072693
595,1799.583333,0.241221829
596,1799.666667,0.241673752
597,1799.75,0.242086441
598,1799.833333,0.242463293
599,1799.916667,0.242807394
600,1800.0,0.243121578
601,1800.083333,0.243408455
602,1800.166667,0.243670411
603,1800.25,0.243909634
604,1800.333333,0.244128081
605,1800.416667,0.244327549
606,1800.5,0.244509658
607,1800.583333,0.244675938
608,1800.666667,0.244827771
609,1800.75,0.244966426
610,1800.833333,0.245093043
611,1800.916667,0.245208651
612,1801.0,0.245314191
613,1801.083333,0.245410554
614,1801.166667,0.245498551
615,1801.25,0.245578923
616,1801.333333,0.245652321
617,1801.416667,0.245719334
618,1801.5,0.245780511
619,1801.583333,0.245836352
620,1801.666667,0.245887346
621,1801.75,0.245933933
622,1801.833333,0.245976482
623,1801.916667,0.246015319
624,1802.0,0.246050763
625,1802.083333,0.246083117
626,1802.166667,0.246112669
627,1802.25,0.246139673
628,1802.333333,0.246164346
629,1802.416667,0.246186869
630,1802.5,0.246207411
631,1802.583333,0.246226158
632,1802.666667,0.246243283
633,1802.75,0.246258934
634,1802.833333,0.246273242
635,1802.916667,0.246286293
636,1803.0,0.246298189
637,1803.083333,0.24630904
638,1803.166667,0.246318956
639,1803.25,0.24632803
640,1803.333333,0.246336333
641,1803.416667,0.246343911
642,1803.5,0.246350811
643,1803.583333,0.246357098
644,1803.666667,0.24636284
645,1803.75,0.246368102
646,1803.833333,0.246372919
647,1803.916667,0.246377308
648,1804.0,0.246381296
649,1804.083333,0.246384928
650,1804.166667,0.246388255
651,1804.25,0.246391305
652,1804.333333,0.246394116
653,1804.416667,0.246396672
654,1804.5,0.246398982
655,1804.583333,0.246401081
656,1804.666667,0.246403007
657,1804.75,0.24640478
658,1804.833333,0.246406407
659,1804.916667,0.246407887
660,1805.0,0.246409217
661,1805.083333,0.246410422
662,1805.166667,0.246411528
663,1805.25,0.246412565
664,1805.333333,0.246413521
665,1805.416667,0.246414391
666,1805.5,0.246415164
667,1805.583333,0.246415857
668,1805.666667,0.246416497
669,1805.75,0.246417097
670,1805.833333,0.24641765
671,1805.916667,0.246418158
672,1806.0,0.246418595
673,1806.083333,0.246418979
674,1806.166667,0.246419344
675,1806.25,0.246419695
676,1806.333333,0.246420033
677,1806.416667,0.246420339
678,1806.5,0.246420592
679,1806.583333,0.246420813
680,1806.666667,0.24642102
681,1806.75,0.246421225
682,1806.833333,0.246421422
683,1806.916667,0.2464216
684,1807.0,0.246421738
685,1807.083333,0.246421855
686,1807.166667,0.246421969
687,1807.25,0.246422094
688,1807.333333,0.246422223
689,1807.416667,0.246422336
690,1807.5,0.246422416
691,1807.583333,0.246422481
692,1807.666667,0.246422538
693,1807.75,0.246422616
694,1807.833333,0.246422695
695,1807.916667,0.24642276
696,1808.0,0.246422796
697,1808.083333,0.24642282
698,1808.166667,0.246422855
699,1808.25,0.246422899
700,1808.333333,0.246422959
701,1808.416667,0.246423005
702,1808.5,0.246423027
703,1808.583333,0.246423034
704,1808.666667,0.24642305
705,1808.75,0.24642308
706,1808.833333,0.246423115
707,1808.916667,0.246423145
708,1809.0,0.246423126
709,1809.083333,-1.493529716
710,1809.166667,-2.67756851
711,1809.25,-3.406907105
712,1809.333333,-3.86311453
713,1809.416667,-4.125210167
714,1809.5,-4.242974934
715,1809.583333,-4.251682639
716,1809.666667,-4.171547552
717,1809.75,-4.009686299
718,1809.833333,-3.81129996
719,1809.916667,-3.59122062
720,1810.0,-3.360164957
721,1810.083333,-3.12592107
722,1810.166667,-2.894053391
723,1810.25,-2.668440881
724,1810.333333,-2.451696594
725,1810.416667,-2.245487642
726,1810.5,-2.050794247
727,1810.583333,-1.86805316
728,1810.666667,-1.69735508
729,1810.75,-1.538525818
730,1810.833333,-1.391208115
731,1810.916667,-1.254921986
732,1811.0,-1.129111412
733,1811.083333,-1.013176834
734,1811.166667,-0.906500362
735,1811.25,-0.808462818
736,1811.333333,-0.718456637
737,1811.416667,-0.635894447
738,1811.5,-0.560214935
739,1811.583333,-0.490886167
740,1811.666667,-0.427407509
741,1811.75,-0.369310246
742,1811.833333,-0.31615743
743,1811.916667,-0.267543141
744,1812.0,-0.223091358
745,1812.083333,-0.182454405
746,1812.166667,-0.145311754
747,1812.25,-0.111368092
748,1812.333333,-0.080351913
749,1812.416667,-0.052013867
750,1812.5,-0.026125087
751,1812.583333,-0.002475729
752,1812.666667,0.019126471
753,1812.75,0.038857595
754,1812.833333,0.056878874
755,1812.916667,0.073337748
756,1813.0,0.088369164
757,1813.083333,0.102096501
758,1813.166667,0.114632637
759,1813.25,0.126080716
760,1813.333333,0.136534982
761,1813.416667,0.146081552
762,1813.5,0.154799114
763,1813.583333,0.162759597
764,1813.666667,0.170028685
765,1813.75,0.176666396
766,1813.833333,0.182727528
767,1813.916667,0.188262099
768,1814.0,0.193315832
769,1814.083333,0.197930475
770,1814.166667,0.202144204
771,1814.25,0.205991821
772,1814.333333,0.209505155
773,1814.416667,0.212713209
774,1814.5,0.215642498
775,1814.583333,0.21831724
776,1814.666667,0.220759576
777,1814.75,0.222989704
778,1814.833333,0.225026056
779,1814.916667,0.226885446
780,1815.0,0.22858324
781,1815.083333,-3.304540293
782,1815.166667,-5.302652693
783,1815.25,-6.693024916
784,1815.333333,-7.612549354
785,1815.416667,-8.071305291
786,1815.5,-8.164932902
787,1815.583333,-8.08677578
788,1815.666667,-7.935231335
789,1815.75,-7.746839911
790,1815.833333,-7.523356172
791,1815.916667,-7.256480967
792,1816.0,-6.945697076
793,1816.083333,-6.582890037
794,1816.166667,-6.140958162
795,1816.25,-5.688378902
796,1816.333333,-5.251858654
797,1816.416667,-4.835284649
798,1816.5,-4.441008028
799,1816.583333,-4.070248955
800,1816.666667,-3.723405071
801,1816.75,-3.400284425
802,1816.833333,-3.10028188
803,1816.916667,-2.822513408
804,1817.0,-2.565917109
805,1817.083333,-2.32932629
806,1817.166667,-2.111523053
807,1817.25,-1.911277577
808,1817.333333,-1.727375216
809,1817.416667,-1.558636216
810,1817.5,-1.403928549
811,1817.583333,-1.262176823
812,1817.666667,-1.132365855
813,1817.75,-1.013543737
814,1817.833333,-0.904821753
815,1817.916667,-0.805373325
816,1818.0,-0.714431833
817,1818.083333,-0.63128888
